exp_name,f1_score,roc_auc_score,precision_score,recall_score,accuracy_score,coreSet_time,maxsim_time,lookup_all_adscore_time
K=1(all_each),0.8388214904679376,0.9902269861286255,0.7223880597014926,1.0,0.9814,0.034688711166381836,1.0403378009796143,0.0016131401062011719
ColBERT(all_each),0.8273244781783681,0.9433724497062798,0.7649122807017544,0.9008264462809917,0.9818,0.034688711166381836,1.0403378009796143,0.0016131401062011719
mean ColBERT(all_each),0.18645418326693228,0.6475783282787754,0.11549851924975321,0.4834710743801653,0.7958,0.034688711166381836,1.0403378009796143,0.0016131401062011719
