exp_name,f1_score,roc_auc_score,precision_score,recall_score,accuracy_score,coreSet_time,maxsim_time,lookup_all_adscore_time
K=1(all_each),0.8620689655172413,0.9915789473684211,0.7575757575757576,1.0,0.984,0.06507039070129395,0.531806468963623,0.0007636547088623047
ColBERT(all_each),0.8620689655172413,0.9915789473684211,0.7575757575757576,1.0,0.984,0.06507039070129395,0.531806468963623,0.0007636547088623047
mean ColBERT(all_each),0.18487394957983194,0.6326315789473684,0.11702127659574468,0.44,0.806,0.06507039070129395,0.531806468963623,0.0007636547088623047
